, RMSE, MAE, MAPE, Parameters, Training Time (s), Train Time/Batch (ms), Inference Time/Batch (ms)
GRU, 0.2221, 0.1670, 19.7220, 41848, 1345.1490, 419.2545, 128.3202
iGRU, 0.2252, 0.1635, 18.2092, 41974, 1331.1152, 423.2815, 104.3651
